site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,Elev_srtm3,Elev_gtopo30,theta_fc,theta_paw,theta_r,theta_s
AL-PET,2.2,,,1765.0,,,OzFlux,,,,,-36.862222,147.320833,GRA,Cfb,0.3,,2017.0,2022.0,6.108112526951496,,1521,0.36897,0.20302,0.15537,0.54756
AR-SLu,11.0,5.5,0.11,500.0,400.0,,FLUXNET2015,,,,,-33.46480179,-66.45980072,MF,BSh,4.5,,,,1.6593241311629303,,484,0.25069,0.12656,0.11998,0.41602
AR-TF1,2.33,6.5,,40.0,,,AMF_FLX,,,,,-54.9733,-66.7335,WET,ET,,,2016.0,2018.0,2.055832872485956,,1,0.35965,0.22664,0.12536,0.51807
AR-Vir,,5.8,,,,,FLUXNET2015,F15,,196.0,1,-28.24,-56.189,ENF,Cfa,14.4,,,,1.8383632117513,,78,0.31772,0.17508,0.1362,0.47308
AT-Neu,3.0,2.9,0.16,970.0,852.0,6.5,FLUXNET2015,F15,2.906,32.0,2,47.1166687,11.31750011,GRA,Dfc,1.0,6.5,2002.0,2012.0,4.741337498813359,966.0,991,0.37552,0.23167,0.13524,0.53147
AU-ASM,13.7,,,600.0,,,OzFlux,,,,,-22.283,133.249,SAV,BWh,6.5,,2010.0,2025.0,2.3221634193226843,,592,0.2128,0.09531,0.11569,0.38189
AU-Ade,,4.2,,,,,FLUXNET2015,F15,,,3,-13.077,131.118,SAV,Aw,12.5,2.04,2007.0,2009.0,1.7612681340670324,74.0,171,0.21332,0.10028,0.11083,0.38425
AU-Boy,30.0,,,300.0,,,OzFlux,,,,,-32.477093,116.938559,EBF,Csa,13.0,,2017.0,2025.0,1.8425591158789945,,315,0.13377,0.055658,0.078071,0.39995
AU-Cow,35.0,,,86.0,,,OzFlux,,,,,-16.238189,145.42715,EBF,Am,26.0,,2009.0,2025.0,8.327938366718028,84.0,136,0.34053,0.16519,0.16729,0.494
AU-Cpr,20.0,,,60.0,,,OzFlux,,,,,-34.0027,140.5877,SAV,BSk,3.0,,2010.0,2025.0,0.3722363405336721,,84,0.20855,0.09538,0.11217,0.40609
AU-Ctr,45.0,,,66.0,,,OzFlux,,,,,-16.103219,145.446922,EBF,Am,25.0,,2010.0,2018.0,10.060677455962892,68.0,67,0.37022,0.18065,0.17977,0.51485
AU-Cum,30.0,,,27.0,,,OzFlux,,,,,-33.615278,150.723611,EBF,Cfa,24.0,,2014.0,2025.0,4.684525139070593,,124,0.25228,0.13047,0.11797,0.43104
AU-DaP,15.0,4.2,0.16,116.0,983.78,27.25,FLUXNET2015,F15,,0.0,7,-14.06330013,131.3181,GRA,Aw,0.300000012,,2008.0,2013.0,2.600772152686968,71.0,103,0.26105,0.12272,0.13447,0.42808
AU-DaS,21.0,,,110.0,,,OzFlux,,,,,-14.1592,131.3881,SAV,Aw,16.4,,2008.0,2025.0,3.172707013109898,74.0,98,0.20465,0.10046,0.10292,0.40609
AU-Dry,15.0,,,175.0,,,OzFlux,,,,,-15.2588,132.3706,SAV,Aw,0.15,,2009.0,2025.0,3.1377802551715592,176.0,191,0.21113,0.10178,0.10797,0.40802
AU-Emr,5.599999905,4.2,0.16,177.0,,,FLUXNET2015,F15,,0.0,10,-23.8586998,148.4745941,GRA,BSh,2.0,,2011.0,2013.0,0.4428340441486619,,181,0.33109,0.12308,0.19961,0.44112
AU-Fog,,6.5,,,1323.69,27.02,FLUXNET2015,F15,,,11,-12.545,131.307,WET,Aw,1.0,3.4408,2006.0,2008.0,2.156559770417434,4.0,27,0.27453,0.13154,0.13816,0.43384
AU-GWW,36.0,,,450.0,,,OzFlux,,,,,-30.1914,120.6541667,SAV,BSh,18.0,,2013.0,2024.0,2.292456171418453,,505,0.22786,0.10508,0.12043,0.3992
AU-Gin,15.0,,,46.8,,,OzFlux,,,,,-31.376351,115.71377,WSA,Csa,6.8,,2011.0,2024.0,1.3896879744001396,,99,0.15067,0.064807,0.085766,0.39991
AU-How,23.0,,,64.0,,,OzFlux,,,,,-12.4952,131.15005,WSA,Aw,16.0,,2002.0,2025.0,2.313540413156841,39.0,41,0.26611,0.13028,0.1318,0.44112
AU-Lit,30.0,,,222.0,,,OzFlux,,,,,-13.17904178,130.7945459,WSA,Aw,16.0,,2015.0,2025.0,3.6250937640646086,222.0,190,0.26865,0.12038,0.14399,0.42473
AU-Lon,4.25,,,157.0,,,OzFlux,,,,,-23.52326576,144.3104157,GRA,BSh,0.5,,2018.0,2024.0,0.229865870431542,,218,0.32369,0.11746,0.19817,0.43012
AU-Otw,10.0,5.5,,54.0,,,FLUXNET2015,,,,,-38.532341,142.816803,EBF,Cfb,0.100000001,,,,0.7231896336905056,,7,0.29221,0.15859,0.12848,0.50167
AU-RDF,,4.1,,,,,FLUXNET2015,F15,,32.0,13,-14.564,132.478,SAV,Aw,16.0,,2011.0,2013.0,1.6777917220641407,186.0,233,0.25466,0.11586,0.13555,0.42223
AU-Rgf,10.0,,,330.0,,,OzFlux,,,,,-32.506102,116.966827,CRO,Csa,1.0,,2015.0,2025.0,1.3332038625451803,,307,0.14163,0.057321,0.084233,0.37511
AU-Rig,5.0,,,152.0,,,OzFlux,,,,,-36.656,145.576,GRA,Cfa,0.4,,2011.0,2017.0,0.8864148700713177,,129,0.24843,0.11556,0.12891,0.40371
